ID,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
293,Thailand,7.713015056107302,7.712215852109726,7.532978820636226,8.004867895400777,7.6716320955401205,7.599513872698471,10.047467887608812,10.012288899942316,9.958183871660829,7.520684060113326,83.78783498968986,0.03785712033853354
294,Thailand,7.543387741190873,7.80331645346163,7.620515280365471,7.587794364755758,7.754146199899681,7.817569314726962,9.974087522153148,10.012117419194613,9.966218619796715,7.722847214910859,83.87101172318994,-0.013228936377192411
295,Ethiopia,7.602674421342457,7.850615732560336,7.618527151431577,8.045099059481627,7.837366059672726,7.548752199846876,10.004808983477362,9.963562962536312,9.958492802959578,7.531001750357717,83.79018797201527,0.14330687778255644
296,Kenya,7.7981793701577296,7.555608057716526,7.516439268095527,7.611671635384673,7.736538485835221,7.785818877950885,9.988725897207486,10.044394688632515,10.020041145854432,7.864444459295055,83.7598049256386,0.0712357728128168
297,Brazil,7.676457645006494,7.63999947085528,7.568824560715654,7.787805439253777,7.716076398354721,7.652676678629473,10.042174920112291,10.01897928182689,9.98737318900248,7.74492595340802,83.72252871298515,0.12224550601042813
298,Colombia,7.806546632490711,7.827540347671496,7.557135309362174,7.620204432166506,7.5732971440206205,7.573807069658384,9.956923653973146,9.953297062362333,10.025422828146445,7.712322300355978,83.79329989974073,0.10711826392188739
299,Taiwan,7.700052196205189,7.633494144471989,7.593008088281245,7.58695217106869,7.641453365802694,7.799323055988547,10.004562809977035,9.989014648994164,10.036903860028321,7.777044090687219,83.794489861622,-0.02274715810729947
300,Colombia,7.916321329190178,7.729887345240095,7.488653150014593,7.622468800526536,7.762202361415822,7.469204550108277,9.98851786026038,10.04704527779911,10.030581479488577,7.694057971724902,83.76920681279886,-0.045903787668431645
301,China,7.809857859375679,7.785133079134803,7.628900857149735,7.452005383877173,7.579458632414453,7.699404662729297,10.021635324529099,10.03706844745646,9.953503551571632,7.7295612816627495,83.70955651831811,0.13641120581312183
302,Colombia,7.780012542364218,7.642980889081521,7.542238063308905,7.630225767591212,7.586933203641857,7.814377112543873,9.997204896489183,10.036859636190675,10.028676020610993,7.714523868230577,83.76500866655994,0.040763660742881874
303,Uganda,8.04978917776023,7.903231025946113,7.576622674812261,7.7396688097362105,7.378536934942563,7.503711732493897,10.011205735292489,9.996429522068743,9.997149186198452,7.716727247250091,83.75889171111476,0.11720976298362598
304,United States (Puerto Rico),7.804187126385031,7.87890359571163,7.801301618729542,7.639230047570239,7.993940761225196,8.16345706211879,9.3479043714021,9.327440601064373,9.964992882862752,7.756888535384315,83.74751235861979,0.1288099824575007
305,Colombia,7.627156229936695,7.701009924432685,7.657078972088272,7.9005995850683535,7.520143066170907,7.684566780193757,10.036353089549685,9.976285558810462,9.984933650666868,7.697201132632755,83.71676932178461,-0.047058077691435655
306,Colombia,7.62028470352495,7.428947563015804,7.460241907921112,7.4007332008947095,7.9978316566309315,8.348261605441648,9.95434006080345,9.990666746671407,10.024872430782525,7.52342582259473,83.70704475407986,0.032094983679436126
307,Colombia,7.541061527553478,7.627662795683046,7.775209972404697,7.698129867628773,7.659947128411003,7.659589700573578,9.952150279059257,10.023332750556545,10.032984501921629,7.765315911786877,83.77183649485951,-0.039486922623940005
308,Colombia,7.791426661469571,7.697040795462498,7.748154630571533,7.589952240424544,7.469541686952896,7.999905920213062,10.033235583388521,10.004162936828648,9.981212460240691,7.594053996345945,83.74463830902135,0.07322356945580825
309,United States (Hawaii),7.225715139852119,7.457540902837234,7.626145049340354,7.56895028034802,7.869061411378101,8.210545403602241,10.01929606235323,10.048570929681153,9.971396247758317,7.7136454531114715,83.76737469588579,0.0005100771925159592
310,Mexico,7.801409156542966,7.559935917202534,7.56148581953948,7.5073667685389385,7.777610455757567,7.705769945201111,10.014141439389032,9.980275426723347,9.969249781192895,7.874187175804389,83.72746623925116,0.09432746473551024
311,Guatemala,7.675903640421476,7.555271134232386,7.600213752644533,7.6730406683834635,7.78563565024299,7.70849695975161,10.039748589299236,10.020188531195734,9.989107013602545,7.766479419311749,83.77109210207995,0.13349066584127836
312,Colombia,7.787072037639101,7.788846719405689,7.582063999772919,7.290463213449297,7.440780407124998,7.694903286927474,10.024710006400586,9.989418410040724,9.972575528548846,8.104121367036747,83.79255495922067,0.14208079894467052
313,Colombia,7.748158380089747,7.637785516928789,7.208926914977033,7.298610181857141,7.579443368688959,8.527217087063388,10.042456494274308,9.999923073087784,9.981959809159836,7.785773355189119,83.76558753005342,0.10534629181962903
314,United States (Hawaii),7.7878321248094355,7.670401382743406,7.790810541591498,7.644280964955827,7.572229813964597,7.510223474964559,9.993493656093491,9.990480821164956,9.976466687268594,7.717082740331792,83.79521472565787,0.024474714608609144
315,Brazil,7.680382523492936,7.840044665339351,7.51641414900077,7.708098129731689,7.685980177104815,7.5478132289749595,10.009753208920765,9.981071306870877,10.040920184840262,7.821334776579427,83.662499362708,0.08996008698628791
316,Kenya,8.12246650365037,7.661381187947861,7.654410400884635,7.546008861575281,7.253130388643207,7.629266998494932,10.00654306223903,10.04651186150998,9.974981601254704,7.7748291271795225,83.62093812459571,0.15944333917268388
317,Honduras,7.4848577933384455,7.489656955757108,7.635536673308292,7.708479446230134,8.012721705052495,7.979456351966357,9.97471126674701,9.967908311819986,10.006205459712545,7.320016861698417,83.63127491555737,0.0630286951631284
318,Nicaragua,7.7073928881969795,7.7030979545207625,7.64490585557212,7.699373552543761,7.850687545466855,7.552260844576449,9.96690352506214,9.975833124589089,10.031154374086647,7.500422742333481,83.68178103162138,0.1309148513161435
319,Brazil,7.544114850982546,7.75058194778874,7.626446167893706,7.703178938458601,7.6094277077396875,7.546868625961208,9.978932604534782,10.001955301826126,10.034466917526151,7.808832790775369,83.62919062749641,0.1564927841978404
320,Taiwan,7.530780129129852,7.694632257822703,7.306544564768407,7.920952651575371,7.823012349898583,7.6915669613144795,10.044732738600576,10.025315006213791,9.959447918753236,7.786211062129498,83.69554093460052,0.06147696438088365
321,Costa Rica,7.340901607201789,7.677957051080044,7.657031959662479,7.4870958611999585,7.693138517357264,7.487751121944221,10.047529813396599,9.981123371455075,10.011325126799067,8.361775175806084,83.68255633211521,0.08137469345899634
322,Thailand,7.482345767343005,7.741253932245901,7.56278759167671,7.861306996102367,7.643637871149448,7.550532196618373,9.956526122678723,10.041423537372022,9.998636418511639,7.774903502507423,83.65638074216162,0.09802917667106695
323,Colombia,7.483018440838154,7.713427302024913,7.540189247436328,7.777174860826876,7.719905785900426,7.639410216384014,10.04355963101577,10.019833625846944,10.013681059690427,7.7944880830165975,83.71599460802487,0.14824846639452158
324,Guatemala,7.969657737964173,7.465283186637777,7.285762836994452,7.974855999622285,8.032832252261558,7.976353954801255,9.281632856051433,9.989644124651795,10.015383926676881,7.544742743383698,83.63160725395093,0.059367476734465324
325,Colombia,7.873821507609201,7.745249706786888,7.700004138540823,7.5339492541398245,7.592778915393714,7.670916375249937,10.0256098470608,10.02072212404673,9.987150634283905,7.551164036385219,83.63651048658211,-0.036605737710053037
326,Colombia,7.656225437234221,7.643130106383032,7.625896935049337,7.6892626656918726,7.34815381948976,7.7044568170711605,10.002474924494097,9.954049852846383,9.994700299202615,7.932560089220801,83.64418894408568,0.03791189226435547
327,Guatemala,7.701223221468378,7.66104709647385,7.370403393401653,7.677982336429562,8.029595699783023,7.774241230057369,9.99497165376388,9.970096184957002,10.0346262869202,7.503334220909748,83.66142870063841,0.07225260318134966
328,Guatemala,7.824794653227524,7.675498925826483,7.379878022690824,7.6446883031569595,7.703013752212739,7.793579132150762,10.018019220560891,9.969617210812542,10.0461190309728,7.655170366757287,83.67600072628211,0.07211494206273353
329,Colombia,7.744999576260616,7.7792234610589865,7.627437670425397,7.865987739716943,7.191963403726878,7.746718464324413,10.005412208563861,9.993093139111464,10.019716642901471,7.866635336536567,83.69188168012758,0.14184534257146408
330,Guatemala,8.1863322951552,8.150628284018879,7.838038075306826,7.622980015648217,8.074370674769929,7.705577751266977,9.286566410815542,9.339157821435348,9.346510483562147,8.040443041822966,83.6461961511449,0.11509086175563948
331,Guatemala,7.70536719015428,8.184828167469245,7.525649936651064,7.452312193556719,7.542149541427429,7.789731831495323,9.994645713245601,10.044901497973198,10.02662323814962,7.5482353752436575,83.65393255820129,0.10605527328050865
332,Mexico,7.62603835444192,7.513239660471197,7.465203703627724,7.340355401010818,7.874795342882304,8.2587183829085,9.956095766966458,10.037995044097675,10.019512284448773,7.59080208758371,83.65400421504727,0.08933945168651612
333,Indonesia,8.195326354609687,7.668147827654109,7.603216954620955,7.604475432607175,7.3857495145098815,7.649974517797123,9.981423464377961,10.046731418266134,9.957799738689099,7.567427841940328,83.70749358261136,0.08527319260521653
334,Guatemala,7.68173823603743,7.505905370822037,7.293114668840128,7.992704997134458,7.674899494205723,7.6801954621180615,9.960941317784576,9.963271079711049,10.03361126462211,7.852189099386271,83.64880461795585,0.13923234138027663
335,United States (Hawaii),7.790453247675137,7.988054766285085,7.945374582270174,8.109928688268088,7.716198634815529,8.040345221634112,9.290597075912764,9.287633986174336,9.288682145524515,8.176102811729827,83.6937887159326,-0.003500692609887744
336,Brazil,7.568352008792697,7.676404353075108,7.592288247985266,7.577902359451778,7.7153113876986,7.547628114621749,10.032307847903905,9.990597883549704,10.006400729722706,7.936020788353038,83.55361174446845,0.1052196414376681
337,Guatemala,7.767121597022324,7.784319466646659,7.492590856694375,7.830040089685818,7.533137706601551,7.585654768561671,10.032567777669524,9.99199468245623,9.961251717147046,7.57312931753486,83.62132893499931,0.15965264702108273
338,Colombia,7.712256888601433,7.753174491273693,7.626035219888894,7.616465310661968,7.670471359175598,7.569696416634434,9.972134533761519,9.981132173236093,10.00522893711182,7.678606912107091,83.54924213924976,0.13143423287534223
339,China,7.714068349091135,7.553861049327597,7.627196614089455,7.622219022137023,7.707769648936248,7.762377654112258,9.985001267474285,10.011295000433238,9.953071698534822,7.708576577593299,83.53958056502579,0.11112337068909528
340,Colombia,7.701905200211489,7.788264918771433,7.553686351641938,7.690590445820488,7.737347184350472,7.54610280707177,9.994483570071905,10.012368325260281,9.985178840932276,7.581448351620035,83.60801114934155,0.15078989722160785
341,Mexico,7.7286942034040145,7.7750944083354225,7.587340621898365,7.56262367432708,7.4558469442878454,7.716765081205083,10.035873676401206,10.040041967883981,10.003841455869521,7.778215719214582,83.56157799531167,0.08065006992156026
342,Ethiopia,7.799260088579265,7.6999330706473765,7.6112790771249,7.665919053107091,7.460814156022398,7.646487845703521,10.03757736087371,10.023835175020714,10.03529506209984,7.771944990710046,83.60472317898892,-0.022307811520612265
343,Uganda,7.69160496979178,7.690105805142596,7.469258418554596,7.795439232860336,7.781321579479497,7.702756807203065,9.959530502225315,9.961027126487483,10.009923043623562,7.629997492798678,83.6258762979446,0.11926402054321399
344,Colombia,7.718443050299284,7.570516780835257,7.709848330081392,7.6255668253968425,7.625877950879613,7.693719391689796,9.990756258035768,9.986362303719599,10.029214944959449,7.654171944028573,83.57494408838804,0.04205483323916573
345,Colombia,7.662986130542429,7.535182319226314,7.690866165414414,7.533030094208474,7.700819358804643,7.799305528370724,10.031749240101394,9.982518239758008,9.989193828438209,7.684031019293279,83.58201331131953,0.11792765514276726
346,Colombia,7.793822970322014,7.580475378681385,7.516601282495484,7.628361310863871,7.749092573899006,7.824296479994954,10.045295159248017,10.031421439328689,9.996965505669097,7.616273268217659,83.58707093104,0.007362432174177216
347,Taiwan,7.71574802786287,7.759355524265015,7.725113680755534,7.730162821303607,7.536678750042515,7.587576496965273,9.97872394001679,10.019550238610949,10.044065866094819,7.524422499294682,83.5719947394556,0.15780329465314444
348,Colombia,7.636738637757196,7.713574470648931,7.555188534501704,7.6946344291988495,7.765996645630885,7.564185334000518,9.951355734874053,10.049745120605907,9.990297948425379,7.675223961514407,83.53522522959085,0.08118632097280161
349,Mexico,7.875749488645981,7.694559924075396,7.5439671055889725,7.627867748859053,7.7023404391245816,7.597646098169175,9.977552169809742,9.9709061148519,10.039730426126562,7.702356873612971,83.60938973695006,0.16770601657932643
350,Colombia,7.688812824539626,7.541009000236278,7.623431523284665,7.580914182313329,7.630958986956661,7.750743739846924,9.981225810729782,10.044529783061565,10.049492118909967,7.766313093031956,83.56922066251937,0.07043468986698878
351,Brazil,7.878001370640159,7.764200551855958,7.461970781381807,7.741053457929153,7.4902585050965795,7.606950285581348,10.035041319326982,10.043375677753827,9.977356190663903,7.671837438758219,83.60335069421548,0.10056086544689422
352,Colombia,7.780835159609296,7.564829468999604,7.534935511063051,7.762208928556545,7.715807087557536,7.520289147383602,9.990442766368547,9.985572294952448,10.02465212191812,7.534069571623401,83.46760715564854,0.026248825254695768
353,Taiwan,7.536392115932172,7.617386036768425,7.185818778366228,7.130188632892714,6.983293905709598,7.020851077378684,9.983393091922395,9.980464465390723,10.007222816193012,9.994112912960007,83.5428979917807,0.13885921904577186
354,Costa Rica,7.949348880512569,7.40827882535363,7.4977866059262945,7.630588843119223,7.536631776364422,7.64739869933207,9.999809617034648,9.96885290539309,9.966315017553436,7.8204062440432125,83.49563740881324,0.04595162020480781
355,Colombia,7.7146590411531895,7.5394873401126645,7.594063972233134,7.53998580032726,7.729802384170031,7.7351841150997265,9.965485101416494,10.003747278565566,9.96148149425079,7.600662803309828,83.5468513570094,0.0353996810123398
356,Guatemala,7.679488780419619,7.769399083299904,7.452595379673768,7.787960520071278,7.5747789394141165,7.530464850968639,9.962114805904685,10.044620212077747,10.043170580265299,7.541164625640031,83.48308998952422,0.12818436323483035
357,Colombia,7.543151407709072,7.536063079503718,7.598874424435394,7.622448532462567,7.7662823954762095,7.633973798933933,9.972045916896269,10.012064893394593,10.028219871223229,7.773004921386061,83.48330666371093,0.15973645296075434
358,"Tanzania, United Republic Of",7.7803208090187,7.696823562303796,7.566119056480013,7.718713418627072,7.6409203444515255,7.53664640497129,10.015384579933576,9.969136326309732,9.975008783896172,7.5537508948560435,83.53219998258123,0.09111718124915429
359,Indonesia,7.20435042936157,7.654113665516988,7.608667334286355,7.89512234937345,7.823989092237616,7.621932578142721,9.955979411261383,9.98356408900845,9.99882519622281,7.70408653292475,83.53538744317603,0.12041965373520086
360,Ethiopia,7.653304219045704,7.784303530695575,7.502184367341861,7.590428508775805,7.761581699914354,7.674703340859092,9.980391036236187,10.039130495373756,10.027713007680333,7.60009220642782,83.47569816608143,0.05731715436992107
361,Colombia,7.711272702376777,7.461021415003365,7.637273776937881,7.814625902547466,7.545312672448329,7.715823443338552,9.96402714319331,10.039235148725057,10.037839249983342,7.673940145033363,83.5095858474578,0.0076436967955519144
362,Colombia,7.999058328228919,7.553853954520719,7.2110867689666245,7.621435750030172,7.942067764938952,7.563376892678069,9.950476541995158,9.962550929862582,10.00897317590456,7.539898676225311,83.45372370012724,0.10925751113580559
363,Guatemala,7.606968358875486,7.711368128316884,7.523637747787475,7.850560390403141,7.433056947708161,7.701216733611338,10.049062707377844,10.007919511327232,10.003678241694654,7.7035930386505695,83.45189542846323,0.12693845520653113
364,Colombia,7.786007279390798,7.614877842319123,7.325432272901769,7.536335737056431,7.873058975189558,7.805406780096385,10.037295466110802,10.023812359776423,9.953564768079918,7.6286645001397195,83.51699369574851,-0.00012819367725445258
365,Honduras,7.704214442177529,7.46357937196774,7.690471638074955,7.501934188195181,7.7186279607361055,7.6907926627781045,9.988981926625906,9.998345957067553,9.95742883230116,7.833173661556069,83.47725166889691,0.07617424429932852
366,Colombia,7.55411199589364,7.740093265643169,7.450430914392766,7.6651537672157435,7.732292095664532,7.698745145580516,9.999502528216633,10.04268404233289,9.996631856931975,7.700626519107361,83.51425596390666,-0.004709432846201067
367,Colombia,7.604148756487508,7.687858952110343,7.57577808743543,7.729445759280869,7.616433618347599,7.706956711160479,10.044731730272572,9.963445308968453,9.95073704261026,7.57154080853439,83.45689714175937,0.08223891633433894
368,Mexico,7.849367480223662,7.620623974492578,7.211938110587403,7.548665446806899,7.506153756465343,7.38455096142561,9.952932115254223,9.98012965991917,10.00944298348971,8.372651447543435,83.45808811548308,0.14984730794298298
369,Mexico,7.657627100418756,7.71494845085631,7.675480853827428,7.725947081544115,7.582473443312392,7.53659339787839,9.991604711563241,9.995106132700709,9.976192270861919,7.56838034605364,83.47544959487907,0.10544726693957249
370,Mexico,7.7552160469817295,7.64686600537499,7.690352317492805,7.743347308267543,7.347653928808942,7.495600955831921,10.049302342094244,10.037537946393805,9.97284641720723,7.810608087824612,83.48854266814294,0.09572843011312514
371,Guatemala,7.792718859688713,7.492306753691846,7.492148708142867,8.010660744026929,7.673457302766731,7.520900965037084,10.021875831250865,10.019225792619524,9.989246934524427,7.507652102057878,83.5087581773331,0.12707440263791264
372,Colombia,7.70157370782307,7.586887612357263,7.574593633415878,7.674705046542702,7.6843088978439,7.626771606625862,10.045945103609062,9.991650593103634,10.034602689017232,7.672246072742319,83.46766556240443,0.1498888751683396
373,Guatemala,7.4989417566110514,7.472750128125311,7.732474128309702,7.520520397415715,8.007176533754718,7.640876085782283,9.993725374293343,10.03000266885439,9.972492204792959,7.590050633452219,83.52714326586208,0.0041782909162122045
374,United States (Hawaii),7.503806734750432,7.636243161732753,7.559015602123183,7.91721455303043,7.626584230714351,7.703150029659296,9.97573004778431,10.03443618490115,9.974854529226752,7.605408362897427,83.5193455386503,0.0030713841358049245
375,Indonesia,7.853439492451964,7.548551000376416,7.590905722462889,7.5329966610298005,7.773447101016075,7.569152692182994,9.966057073343423,10.003653824438,9.951408146576004,7.62103938917844,83.5002182812663,-0.040830951965506616
376,Colombia,7.4739484132937175,7.537373701342055,7.546599089141339,7.503154504035167,7.738297386833968,7.785675672282819,10.026445596072914,10.014320434562308,10.049618620895135,7.622284165405289,83.37514063465221,0.018123175759542615
377,Guatemala,7.701137882619507,7.778281605148313,7.506201488803608,7.60857553203134,7.544031631325849,7.698385403152174,9.97762707510413,10.035700074186726,10.004007620900273,7.642317097381041,83.41606551485062,0.12627670613679237
378,Colombia,7.691359366866484,7.706442476523178,7.54088791802999,7.624674358120165,7.64636926960398,7.611974468759013,9.98212836363479,10.017494635185663,9.968758145922315,7.70250402710934,83.45933195063674,0.0708789343545166
379,Costa Rica,7.574319173482942,7.46975871679226,7.417894400776017,7.883813928967103,7.5200358545658155,7.686135528265934,9.96450519884826,10.014928366198223,10.0317764072407,7.799575868435952,83.4275846374377,0.0835954306512508
380,Taiwan,7.620296943278297,7.6290219763935205,6.9888919673330046,7.066377790378242,7.045221980103148,6.998859692742987,10.04309450823756,10.040286396260775,10.039930031900058,9.972699788510845,83.44978799939493,0.0699262372862075
381,Uganda,7.601107586417592,7.771819146255784,7.282761397119913,7.788745993393577,7.625303209361383,7.53659757888121,9.987769189215037,9.962415452732573,10.014878628360776,7.739983302616712,83.42291292794502,0.10779301296874655
382,Thailand,7.526493618971766,7.5470382929838635,7.797703508490488,7.540124523455631,7.791563156522286,7.692724652025573,9.97546923537602,10.027066513433322,9.988906509668658,7.686645313086436,83.42572720941826,0.1602543154796709
383,El Salvador,7.597921628022206,7.545913501673422,7.775807788019661,7.547461858790388,7.755399239293389,7.642560639029599,10.012918224087048,9.994473149866279,9.982097256949304,7.574203627681588,83.41176826664716,0.12244039218957017
384,Colombia,7.626078937757568,7.668156821887267,7.547406206258077,7.660058126138237,7.569189390398778,7.660322764744446,9.98974889582855,10.016192421058154,9.955366811293636,7.698065729034985,83.43736304499816,0.11083670669917853
385,Brazil,7.3721372236076865,7.840074494518409,7.7608942390134725,7.536795776017277,7.468372504926732,7.857080406590732,10.013653146598307,9.961378660582701,9.996307010555208,7.763717823287695,83.46832111003947,0.14707961610137965
386,"Tanzania, United Republic Of",7.746835165625316,7.631789637263127,7.591903114868749,7.689401728953818,7.614166425879557,7.566618073696416,10.01731527661832,10.024407385393863,9.950851172100307,7.61991107009941,83.44680101507741,0.10672753973368562
387,Colombia,7.589681885482882,7.551356772485434,7.212833917864264,7.752962734272948,7.773676626438376,8.565206607574465,9.340695378802167,10.038099166287774,10.047595857484048,7.549599592227606,83.46121422511013,0.15399455022933817
388,Guatemala,7.747153314640393,7.811766073984816,7.30760168780467,7.795371616953399,7.473054066087841,7.69140542309111,10.009799728458391,10.02264314501614,10.041390256580266,7.5217183408170545,83.42939103176258,0.1431242247519745
389,Guatemala,7.657129042580084,7.748510233611697,7.535323879515832,7.801868612237374,7.577961908457973,7.476921385642324,10.021566888444175,10.0211623451473,10.00745427081365,7.590367829021508,83.41211295525046,0.11341980941509583
390,Guatemala,7.620019959582737,7.544798148546611,7.77430554500725,7.398384539225386,7.798056203735751,7.781971164847057,9.954090108541394,9.956662975939803,10.005340145529875,7.625154855634782,83.3811215828145,0.07260996246192573
391,United States (Hawaii),7.459492294499391,7.740204896958769,7.625442542465275,7.611328455860037,7.697546966566497,7.687846879855185,9.961721541407584,10.037205520994176,10.031503612165057,7.710480633032741,83.41902842800698,-0.0064752082177184506
392,Colombia,7.548137160250616,7.7085116562017175,7.618860002291584,7.5261070065944065,7.637281267622841,7.792733212802372,10.04216168189967,9.987048088162325,10.022313916251127,7.626599634100158,83.40982821547436,0.0698531281981982
393,Colombia,7.563307842050862,7.536792617377281,7.579174858016494,7.658053874223066,7.722676386371561,7.639000256739964,9.954800704072563,9.98338486833421,10.005697996093675,7.6296713430930145,83.46284262026751,0.11900784207990334
394,United States (Hawaii),7.533541677162151,7.942399233935016,7.446844176479063,7.691737439892287,7.8557037042701845,7.625602222999986,9.961300117444289,10.02544727786985,10.02730683347246,7.496523841932403,83.44597983732369,0.044618608355701576
395,Thailand,7.602816876116727,7.218856160515605,7.5268566764062905,7.925194610227946,7.912142574619972,7.403068646484496,10.032120441616046,10.024250694907348,9.973756805269637,7.875144075495218,83.44792613267418,0.06533030771166151
396,Mexico,7.2813092716386105,7.922690761000721,7.407130529117737,7.668601464432713,7.465716756359434,8.765674451291014,9.016326107159749,9.981892605544232,9.977770865937849,7.987673565122259,83.38189086843049,0.08824940271302384
397,Colombia,7.724646119976437,7.46930674187612,7.74328084178173,7.572121223848283,7.616435154406918,7.610384772197579,10.002221906367652,9.975257323171212,9.996565637175408,7.6007222814102375,83.36473616578928,0.008503150547921869
398,Colombia,7.6398135447580025,7.595175917056589,7.547436930632936,7.4382711598269164,7.64265831740899,7.738452911358192,9.97836354414081,10.00889333568627,10.0091213395742,7.653148097336207,83.32870503687678,-0.004265379786127552
399,Colombia,7.787700890829438,7.545743100913374,7.547768805965229,7.530863267540223,7.515599505412059,7.624228619886926,9.9992383978845,10.044248743641065,9.99201790867613,7.642357181979798,83.29548175381682,-0.03864057469347677
400,Brazil,7.474620317473168,7.834811535556512,7.286591633856882,7.586673909567638,7.572996534900244,7.891508071665425,10.023149681405934,10.01486809909512,10.03899216749674,7.549237781873515,83.34062503425292,0.07947568132638881
401,Mexico,7.735392634920546,7.7673988494339365,7.54956378049055,7.650261207106998,7.5247877324396395,7.575448976480311,10.044499027971435,10.009572284705532,10.037086709096863,7.594775881747065,83.30394785629179,0.10198857384269808
402,Colombia,7.629953955353305,7.712857755926898,7.388899593289909,7.812250540780276,7.79549754675477,7.417204162668757,10.008441660125662,9.98747996399108,9.977497676891565,7.373792789517325,83.35874981084734,0.14883653190421403
403,"Tanzania, United Republic Of",7.701795093132425,7.556715561476064,7.640340442536843,7.605458883803649,7.607194438965115,7.586731439012214,9.951752439721874,9.959180702389789,9.985747977502225,7.536804377847352,83.35195143902904,0.15751242368620938
404,Mexico,7.706870239709183,7.6523192358623975,7.5430979099748106,7.679905777358133,7.515190837024193,7.590548032454806,10.017138552309824,9.992691373672374,10.047087381638613,7.630722584474067,83.33481251260753,0.12808643776609802
405,Costa Rica,7.678416261803269,7.633523991385782,7.4547793063037355,7.663893173814647,7.669792137766583,7.635630728524501,10.015577197717846,10.024153597075472,9.955552815264086,7.560149505430536,83.28685938993415,0.16072642238637383
406,United States (Hawaii),7.876073296176604,7.572054003617757,7.876494144643947,7.680994199679266,7.951821696880723,7.9623411930853205,9.37825998099254,10.018149565700387,9.37092035870974,7.852766632531207,83.32221752812518,0.09099764044373121
407,Costa Rica,7.548557470396486,7.688741773624403,7.668229037854307,7.491170057608685,7.790964531370814,7.145760795824256,10.049104783201338,9.994705657416683,10.043148503486254,8.012324687940689,83.31254518123134,0.1400445659434754
408,Peru,7.824828541889298,7.739932340600335,7.6263854205717045,7.797064164492936,7.924355328306488,7.600072697035244,9.304518792132315,9.98730371239306,9.976342798336857,7.466570954856394,83.35236138817143,0.09589474426551242
409,Haiti,7.5615171341215275,7.507891151198106,7.716021757905257,7.497822689049305,7.7840509731653755,7.455291983298319,9.964288804880017,10.005246784584193,10.013868641434316,7.832970271701619,83.30214488808568,0.1415262900198312
410,Colombia,7.699591834169658,7.702290419821988,7.529584010300485,7.622487441417833,7.873180044384443,7.467560560895863,10.033902914184917,9.968789174077195,10.044752621525229,7.519637706424281,83.28765910378458,0.12157421851876757
411,Guatemala,7.8750702045769625,7.706486596682445,7.1548377758412,7.6951514175534586,7.705696884739268,7.649509132361394,9.967536917184443,9.99557740135451,9.970685768602339,7.715465563284973,83.34527603077946,0.06648986757916496
412,United States (Hawaii),7.905880116734311,7.521283134243335,7.588016018039202,7.807934920612245,7.645282202121047,7.7083109545299,9.377948893138228,9.97067037945362,9.975464991625548,7.8649135314247,83.2986942683128,0.07654703700903336
413,Burundi,7.761553707863271,7.709017307381193,7.371883655052678,7.494798216339983,7.467781067084512,7.7315514992572245,9.976041845805371,10.030228037363797,9.988652360568713,7.873768561466135,83.31265318346621,0.012064050175214079
414,Colombia,7.468406713487382,7.625730675536305,7.681481619598063,7.542339515456776,7.714069322692954,7.548482052782612,10.004545921637678,9.973316740596353,9.976010198307208,7.6620022170374975,83.33291287506437,-0.005411444841187982
415,United States (Hawaii),8.114719240036187,7.797682775459296,7.854617735744826,7.764452844330255,7.704878479585002,7.570796325239261,9.354233226334856,10.002133192807262,9.31433809272816,7.871345063050744,83.34889642961055,0.05654506908660457
416,United States (Hawaii),7.612010091474059,7.623245602969703,7.5850473086645165,7.4747599049068665,7.87309931183866,7.718781964870143,9.967916674095386,9.991945657885044,9.954959475161532,7.532228007707239,83.3764503663754,0.0016874579164948694
417,Mexico,7.712814145487267,7.786903728180444,7.400719296257339,7.792541106507179,7.308841402006295,7.501689088156984,9.962812686007613,10.012145314015937,10.01500322669313,7.67515839989857,83.27023949379338,0.12527170140927124
418,Costa Rica,7.457177739342389,7.53868599555997,7.862435911035385,7.534397720761415,7.669538594778011,7.648713188615167,10.022616550915403,9.991852790364822,9.979253206085104,7.616386972892637,83.26718829620884,0.08569877929817223
419,Costa Rica,7.821969240766963,7.523490715444563,7.380162087733314,7.677706760523266,7.483796035618321,7.640183069313442,9.96035058913198,9.961554699616155,10.037350582075026,7.646272221322219,83.27513365974421,0.06247496298160367
420,Guatemala,7.537713350635971,7.5787125182322015,7.409849292924645,7.813632497675122,7.672356553711911,7.629888403692154,9.973165594375574,10.00061022590808,9.978780612594333,7.718524781734286,83.29202252610105,0.12489528034230418
421,Uganda,7.480909533095529,7.717842275880662,7.6554290659917426,7.438418219421881,7.683549614589579,7.647138487332135,9.962138665779877,9.960318785839368,9.98466668435781,7.678395977717048,83.23162098384728,0.14081872327762174
422,Brazil,7.555499711859301,7.691955349160267,7.447462532922111,7.4897270605561985,7.681424341420939,7.379211831197532,9.96284241654642,9.998106265012959,9.980963490481676,8.016016541263921,83.27356692328564,0.1282818104903635
423,Colombia,7.590229994727528,7.621682616559229,7.717276521206559,7.170356390196945,7.758051498011391,7.84718959901825,9.980758383981815,9.95723921304101,9.988489269405866,7.547656093578668,83.22958528547024,-0.0025993088630055644
